epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,257.056,1.15038,0.76322,1.79545,0.02257,0.88365,0.89394,0.92519,0.57252,1.27731,0.86086,1.91424,0.00404,0.0012872,0.0012872,0.0012872
38,262.937,1.18346,0.75703,1.69347,0.02185,0.87514,0.88636,0.91533,0.58563,1.1997,0.90816,1.80031,0.00438,0.0012674,0.0012674,0.0012674
39,269.147,1.09624,0.72971,1.83184,0.01976,0.89495,0.9036,0.95697,0.63209,1.15952,0.79514,1.84641,0.00429,0.0012476,0.0012476,0.0012476
40,274.796,1.16205,0.7914,1.75143,0.02223,0.91723,0.92424,0.96732,0.60192,1.18679,0.75504,1.78135,0.00368,0.0012278,0.0012278,0.0012278
41,281.689,1.21107,0.80604,1.79139,0.0249,0.91305,0.95458,0.97627,0.6324,1.15762,0.74542,1.72776,0.0036,0.001208,0.001208,0.001208
42,287.152,1.1045,0.72666,1.71933,0.0289,0.91212,0.93182,0.96748,0.60698,1.19003,0.81163,1.74859,0.00372,0.0011882,0.0011882,0.0011882
43,294.115,1.08413,0.71376,1.76521,0.01741,0.89776,0.93132,0.96165,0.62145,1.20603,0.75758,1.73878,0.00411,0.0011684,0.0011684,0.0011684
44,299.722,1.08924,0.73517,1.73722,0.01674,0.94019,0.95266,0.96947,0.64066,1.16797,0.7862,1.67752,0.00386,0.0011486,0.0011486,0.0011486
45,306.678,1.1282,0.71523,1.75237,0.02192,0.96223,0.965,0.98815,0.64294,1.14748,0.70789,1.67065,0.0032,0.0011288,0.0011288,0.0011288
46,312.242,1.12133,0.71969,1.71314,0.02174,0.9068,0.95827,0.97699,0.6312,1.16312,0.75814,1.74441,0.00397,0.001109,0.001109,0.001109
47,319.071,1.12611,0.71841,1.75243,0.01669,0.92382,0.91871,0.97766,0.63699,1.16326,0.73929,1.77304,0.00322,0.0010892,0.0010892,0.0010892
48,324.641,1.03937,0.71666,1.62198,0.01841,0.85605,0.92424,0.93334,0.59285,1.23614,0.78189,1.72158,0.00455,0.0010694,0.0010694,0.0010694
49,331.332,1.10538,0.72848,1.72882,0.02361,0.87441,0.9697,0.9575,0.63431,1.14872,0.71858,1.67156,0.00326,0.0010496,0.0010496,0.0010496
50,336.976,1.08169,0.68829,1.59639,0.01839,0.9205,0.95455,0.96974,0.61839,1.18452,0.73066,1.72828,0.00319,0.0010298,0.0010298,0.0010298
51,343.147,1.05741,0.69803,1.68581,0.01498,0.93945,0.94035,0.97712,0.64502,1.15696,0.74164,1.67077,0.0032,0.00101,0.00101,0.00101
52,349.367,1.09772,0.71613,1.66904,0.02036,0.89277,0.90152,0.95321,0.62806,1.15938,0.74835,1.76973,0.0029,0.0009902,0.0009902,0.0009902
53,354.915,1.07463,0.69703,1.70055,0.02133,0.92695,0.94697,0.97377,0.64595,1.17255,0.69094,1.73887,0.00331,0.0009704,0.0009704,0.0009704
54,361.75,1.08027,0.7401,1.77002,0.01944,0.92725,0.95455,0.96798,0.64033,1.1464,0.71894,1.7069,0.00284,0.0009506,0.0009506,0.0009506
55,367.339,0.99775,0.65329,1.63072,0.0153,0.91486,0.90909,0.94254,0.62114,1.16447,0.73414,1.69139,0.00333,0.0009308,0.0009308,0.0009308
56,374.14,1.02655,0.68616,1.69168,0.0177,0.91318,0.95622,0.97481,0.65989,1.11692,0.67523,1.66775,0.00262,0.000911,0.000911,0.000911
57,379.697,0.98942,0.64643,1.59558,0.01488,0.92714,0.96403,0.97659,0.671,1.10267,0.67728,1.68085,0.00288,0.0008912,0.0008912,0.0008912
58,386.63,1.05332,0.66092,1.64827,0.02101,0.90143,0.97727,0.97239,0.65559,1.11475,0.66976,1.6096,0.0031,0.0008714,0.0008714,0.0008714
59,392.115,0.9974,0.64419,1.5908,0.01973,0.91474,0.97536,0.98144,0.67102,1.05429,0.66448,1.57329,0.0026,0.0008516,0.0008516,0.0008516
60,398.889,0.97794,0.64563,1.58048,0.01805,0.94199,0.98418,0.9811,0.65833,1.08879,0.66645,1.55183,0.0031,0.0008318,0.0008318,0.0008318
61,404.366,1.00235,0.65483,1.5837,0.01965,0.93315,0.98485,0.98004,0.66152,1.11759,0.65128,1.62175,0.00355,0.000812,0.000812,0.000812
62,410.737,1.00588,0.64757,1.64113,0.01414,0.93912,0.97727,0.97796,0.66845,1.11532,0.64277,1.65931,0.00308,0.0007922,0.0007922,0.0007922
63,416.579,0.94835,0.63101,1.5819,0.01879,0.9242,0.92424,0.96546,0.65248,1.10009,0.68205,1.69081,0.00292,0.0007724,0.0007724,0.0007724
64,422.408,0.98253,0.63884,1.6112,0.02045,0.90394,0.92673,0.97126,0.63506,1.12006,0.70883,1.61219,0.0031,0.0007526,0.0007526,0.0007526
65,428.964,0.96173,0.6533,1.59875,0.01572,0.92192,0.95455,0.97001,0.65678,1.07281,0.65537,1.59543,0.0028,0.0007328,0.0007328,0.0007328
66,434.468,1.01882,0.64442,1.66982,0.02905,0.94175,0.94697,0.97006,0.66754,1.08399,0.65738,1.60171,0.00324,0.000713,0.000713,0.000713
67,441.367,0.95531,0.64515,1.5692,0.02084,0.9541,0.94479,0.97686,0.68008,1.0593,0.64249,1.59234,0.00273,0.0006932,0.0006932,0.0006932
68,446.88,0.9299,0.62553,1.58688,0.01369,0.92837,0.96212,0.98218,0.67656,1.05734,0.66054,1.57332,0.00243,0.0006734,0.0006734,0.0006734
69,453.767,0.97657,0.6224,1.60575,0.01712,0.92132,0.96212,0.97844,0.6783,1.10107,0.64791,1.58639,0.00284,0.0006536,0.0006536,0.0006536
70,459.328,0.95726,0.61719,1.63102,0.01313,0.90654,0.9697,0.97934,0.69172,1.02955,0.6145,1.5988,0.00242,0.0006338,0.0006338,0.0006338
71,466.069,0.92535,0.60179,1.56341,0.01451,0.95189,0.95455,0.98352,0.68605,1.02203,0.61739,1.6394,0.00258,0.000614,0.000614,0.000614
72,471.588,0.89834,0.58545,1.5561,0.01415,0.93979,0.96212,0.98804,0.71179,1.01231,0.61762,1.59478,0.00244,0.0005942,0.0005942,0.0005942
73,478.438,0.93317,0.60703,1.54712,0.01425,0.96157,0.94777,0.99002,0.69202,1.03292,0.60127,1.58206,0.00266,0.0005744,0.0005744,0.0005744
74,483.999,0.95106,0.66368,1.57286,0.01851,0.94158,0.97677,0.98683,0.70173,0.99378,0.61135,1.60945,0.00249,0.0005546,0.0005546,0.0005546
75,490.067,0.9306,0.63386,1.52286,0.01994,0.9425,0.96212,0.98617,0.69001,1.02568,0.63042,1.59612,0.00274,0.0005348,0.0005348,0.0005348
76,496.201,0.95025,0.62233,1.56448,0.01531,0.95086,0.9697,0.98702,0.67023,1.06307,0.61123,1.55736,0.00281,0.000515,0.000515,0.000515
77,501.767,0.90552,0.60235,1.52555,0.02095,0.93735,0.98485,0.98289,0.66935,1.06318,0.61527,1.58488,0.00252,0.0004952,0.0004952,0.0004952
78,508.53,0.88323,0.57804,1.57965,0.01623,0.94658,0.97727,0.97483,0.68753,1.04416,0.61661,1.58578,0.00259,0.0004754,0.0004754,0.0004754
79,514.062,0.89352,0.57337,1.55418,0.01669,0.93744,0.9697,0.9811,0.68975,1.0384,0.61427,1.58416,0.00246,0.0004556,0.0004556,0.0004556
80,521.043,0.92184,0.59052,1.56015,0.0131,0.95505,0.96588,0.98509,0.69454,1.01978,0.61658,1.56149,0.00243,0.0004358,0.0004358,0.0004358
81,526.583,0.87417,0.5653,1.45067,0.01399,0.94573,0.97727,0.98564,0.69156,1.04618,0.63657,1.51979,0.00275,0.000416,0.000416,0.000416
